"Package","Title","Description","URL","Version","Date","Category"
"breakDown","Model Agnostic Explainers for Individual Predictions","Model agnostic tool for decomposition of predictions from black boxes.
    Break Down Table shows contributions of every variable to a final prediction. 
    Break Down Plot presents variable contributions in a concise graphical way. 
    This package work for binary classifiers and general regression models. ","https://pbiecek.github.io/breakDown/","0.1.6","2018-06-11","Cluster"
"brms","Bayesian Regression Models using 'Stan'","Fit Bayesian generalized (non-)linear multivariate multilevel models
    using 'Stan' for full Bayesian inference. A wide range of distributions 
    and link functions are supported, allowing users to fit -- among others -- 
    linear, robust linear, count data, survival, response times, ordinal, 
    zero-inflated, hurdle, and even self-defined mixture models all in a 
    multilevel context. Further modeling options include non-linear and 
    smooth terms, auto-correlation structures, censored data, meta-analytic 
    standard errors, and quite a few more. In addition, all parameters of the 
    response distribution can be predicted in order to perform distributional 
    regression. Prior specifications are flexible and explicitly encourage 
    users to apply prior distributions that actually reflect their beliefs.
    Model fit can easily be assessed and compared with posterior predictive 
    checks and leave-one-out cross-validation. References: Bürkner (2017)
    <doi:10.18637/jss.v080.i01>; Carpenter et al. (2017) <doi:10.18637/jss.v076.i01>.","https://github.com/paul-buerkner/brms,
http://discourse.mc-stan.org","2.3.1","2018-05-29",""
"C50","C5.0 Decision Trees and Rule-Based Models","C5.0 decision trees and rule-based models for pattern recognition that extend the work of Quinlan (1993, ISBN:1-55860-238-0).","https://topepo.github.io/C5.0","0.1.2",NA,"Models"
"car","Companion to Applied Regression","
  Functions to Accompany J. Fox and S. Weisberg, 
  An R Companion to Applied Regression, Third Edition, Sage, in press.","https://r-forge.r-project.org/projects/car/,
https://CRAN.R-project.org/package=car,
http://socserv.socsci.mcmaster.ca/jfox/Books/Companion/index.html","3.0-0","2018-03-23","Stats"
"caret","Classification and Regression Training","Misc functions for training and plotting classification and
    regression models.","https://github.com/topepo/caret/","6.0-80",NA,"Models"
"cartography","Thematic Cartography","Create and integrate maps in your R workflow. This package allows various cartographic representations such as proportional symbols, choropleth, typology, flows or discontinuities maps. It also offers several features enhancing the graphic presentation of maps like cartographic palettes, layout elements (scale, north arrow, title...), labels, legends or access to some cartographic APIs. See Giraud and Lambert (2017) <doi:10.1007/978-3-319-57336-6_13>.","https://github.com/riatelab/cartography/","2.1.0",NA,"Maps"
"changepoint","Methods for Changepoint Detection","Implements various mainstream and specialised changepoint methods for finding single and multiple changepoints within data.  Many popular non-parametric and frequentist methods are included.  The cpt.mean(), cpt.var(), cpt.meanvar() functions should be your first point of call.","https://github.com/rkillick/changepoint/","2.2.2","2016-10-04","Time Series"
"charlatan","Make Fake Data","Make fake data, supporting addresses, person names, dates,
    times, colors, coordinates, currencies, digital object identifiers
    ('DOIs'), jobs, phone numbers, 'DNA' sequences, doubles and integers
    from distributions and within a range.","https://github.com/ropensci/charlatan","0.1.0",NA,"Data / Testing"
"choroplethr","Simplify the Creation of Choropleth Maps in R","Choropleths are thematic maps where geographic regions, such as
    states, are colored according to some metric, such as the number of people
    who live in that state. This package simplifies this process by 1.
    Providing ready-made functions for creating choropleths of common maps. 2.
    Providing data and API connections to interesting data sources for making
    choropleths. 3. Providing a framework for creating choropleths from
    arbitrary shapefiles. 4. Overlaying those maps over reference maps from
    Google Maps. ","www.choroplethr.com","3.6.2",NA,"Maps"
"choroplethrMaps","Contains Maps Used by the 'choroplethr' Package","Contains 3 maps. 1) US States 2) US Counties 3) Countries of the
    world.","http://www.arilamstein.com/open-source","1.0.1",NA,"Maps"
"chunked","Chunkwise Text-File Processing for 'dplyr'","Text data can be processed chunkwise using 'dplyr' commands. These
    are recorded and executed per data chunk, so large files can be processed with
    limited memory using the 'LaF' package.","https://github.com/edwindj/chunked","0.4",NA,"Big Data"
"cleanNLP","A Tidy Data Model for Natural Language Processing","Provides a set of fast tools for converting a textual corpus into a set of normalized
  tables. Users may make use of the 'udpipe' back end with no external dependencies, a Python back
  end with 'spaCy' <https://spacy.io> or the Java back end 'CoreNLP'
  <http://stanfordnlp.github.io/CoreNLP/>. Exposed annotation tasks include
  tokenization, part of speech tagging, named entity recognition, entity linking, sentiment
  analysis, dependency parsing, coreference resolution, and word embeddings. Summary
  statistics regarding token unigram, part of speech tag, and dependency type frequencies
  are also included to assist with analyses.","https://statsmaths.github.io/cleanNLP/","2.0.3",NA,"Text"
"clustree","Visualise Clusterings at Different Resolutions","Deciding what resolution to use can be a difficult question when
    approaching a clustering analysis. One way to approach this problem is to
    look at how samples move as the number of clusters increases. This package
    allows you to produce clustering trees, a visualisation for interrogating
    clusterings as resolution increases.","https://github.com/lazappi/clustree","0.1.2","2018-04-11","Cluster"
"colourpicker","A Colour Picker Tool for Shiny and for Selecting Colours in
Plots","A colour picker that can be used as an input in Shiny apps
    or Rmarkdown documents. The colour picker supports alpha opacity, custom
    colour palettes, and many more options. A Plot Colour Helper tool is
    available as an RStudio Addin, which helps you pick colours to use in your
    plots. A more generic Colour Picker RStudio Addin is also provided to let 
    you select colours to use in your R code.","https://github.com/daattali/colourpicker","1.0",NA,"Color"
"compare","Comparing Objects for Differences","Functions to compare a model object to a comparison object.
  If the objects are not identical, the functions can be instructed to
  explore various modifications of the objects (e.g., sorting rows,
  dropping names) to see if the modified versions are identical.",NA,"0.2-6",NA,"EDA"
"condformat","Conditional Formatting in Data Frames","Apply and visualize conditional formatting to data frames in R.
    It renders a data frame with cells formatted according to
    criteria defined by rules, using a tidy evaluation syntax. The table is
    printed either opening a web browser or within the 'RStudio' viewer if
    available. The conditional formatting rules allow to highlight cells
    matching a condition or add a gradient background to a given column. This
    package supports both 'HTML' and 'LaTeX' outputs in 'knitr' reports, and
    exporting to an 'xlsx' file.","http://github.com/zeehio/condformat","0.7.0","2017-10-19","Tables"
"confinterpret","Descriptive Interpretations of Confidence Intervals","Produces descriptive interpretations of confidence intervals.
    Includes (extensible) support for various test types, specified as sets
    of interpretations dependent on where the lower and upper confidence limits
    sit. Provides plotting functions for graphical display of interpretations.","https://github.com/jimvine/confinterpret","1.0.0",NA,"Explain"
"conflicted","An Alternative Conflict Resolution Strategy","R's default conflict management system gives the most recently
    loaded package precedence. This can make it hard to detect conflicts, 
    particularly when they arise because a package update creates ambiguity
    that did not previously exist. 'conflicted' takes a different approach, 
    making every conflict an error and forcing you to choose which function 
    to use.","https://github.com/r-lib/conflicted","0.1.0",NA,"Programming"
"corrr","Correlations in R","A tool for exploring correlations.
    It makes it possible to easily perform routine tasks when
    exploring correlation matrices such as ignoring the diagonal,
    focusing on the correlations of certain variables against others,
    or rearranging and visualising the matrix in terms of the
    strength of the correlations.","https://github.com/drsimonj/corrr","0.2.1",NA,"Stats"
"cowplot","Streamlined Plot Theme and Plot Annotations for 'ggplot2'","Some helpful extensions and modifications to the 'ggplot2'
    package. In particular, this package makes it easy to combine multiple
    'ggplot2' plots into one and label them with letters, e.g. A, B, C, etc.,
    as is often required for scientific publications. The package also provides
    a streamlined and clean theme that is used in the Wilke lab, hence the
    package name, which stands for Claus O. Wilke's plot package.","https://github.com/wilkelab/cowplot","0.9.2",NA,"Plots"
"cr17","Testing Differences Between Competing Risks Models and Their
Visualisations","Tool for analyzing competing risks models. The main point of interest is testing differences between groups (as described in R.J Gray (1988) <doi:10.1214/aos/1176350951> and J.P. Fine, R.J Gray (1999) <doi:10.2307/2670170>) and visualizations of survival and cumulative incidence curves. ","https://github.com/geneticsMiNIng/cr17","0.1.0",NA,"Models"
"CRANsearcher","RStudio Addin for Searching Packages in CRAN Database Based on
Keywords","One of the strengths of R is its vast package ecosystem. Indeed, R packages extend from visualization to Bayesian inference and from spatial analyses to pharmacokinetics (<https://cran.r-project.org/web/views/>). There is probably not an area of quantitative research that isn't represented by at least one R package. At the time of this writing, there are more than 10,000 active CRAN packages. Because of this massive ecosystem, it is important to have tools to search and learn about packages related to your personal R needs. For this reason, we developed an RStudio addin capable of searching available CRAN packages directly within RStudio.","https://github.com/RhoInc/CRANsearcher","1.0.0",NA,"Help"
"cshapes","The CShapes Dataset and Utilities","Package for CShapes, a GIS dataset of country boundaries (1946-today). Includes functions for data extraction and the computation of distance matrices and -lists.  ","http://nils.weidmann.ws/projects/cshapes,
https://r-forge.r-project.org/scm/viewvc.php/*checkout*/pkg/inst/shp/cshapes_shapefile_documentation.txt?root=cshapes","0.6","2016-11-30","Maps"
"ctv","CRAN Task Views","Infrastructure for task views to CRAN-style repositories: Querying task views and installing the associated
             packages (client-side tools), generating HTML pages and storing task view information in the repository
	     (server-side tools).",NA,"0.8-5","2018-05-17","Help"
"d3heatmap","Interactive Heat Maps Using 'htmlwidgets' and 'D3.js'","Create interactive heat maps that are usable from the R console, in
    the 'RStudio' viewer pane, in 'R Markdown' documents, and in 'Shiny' apps. Hover
    the mouse pointer over a cell to show details, drag a rectangle to zoom, and
    click row/column labels to highlight.","https://github.com/rstudio/d3heatmap","0.6.1.2","2016-02-23","Plots"
"d3Tree","Create Interactive Collapsible Trees with the JavaScript 'D3'
Library","Create and customize interactive collapsible 'D3' trees using the 'D3'
    JavaScript library and the 'htmlwidgets' package. These trees can be used
    directly from the R console, from 'RStudio', in Shiny apps and R Markdown documents.
    When in Shiny the tree layout is observed by the server and can be used as a reactive filter
    of structured data.","https://github.com/metrumresearchgroup/d3Tree","0.2.0","2017-03-31","Plots"
"data.table","Extension of `data.frame`","Fast aggregation of large data (e.g. 100GB in RAM), fast ordered joins, fast add/modify/delete of columns by group using no copies at all, list columns, friendly and fast character-separated-value read/write. Offers a natural and flexible syntax, for faster development.","http://r-datatable.com","1.11.4",NA,"Tables"
"DataCombine","Tools for Easily Combining and Cleaning Data Sets","Tools for combining and cleaning data sets, particularly
    with grouped and time series data.","http://CRAN.R-project.org/package=DataCombine","0.2.21","2016-04-13","EDA"
"dataCompareR","Compare Two Data Frames and Summarise the Difference","Easy comparison of two tabular data
    objects in R. Specifically designed to show differences between two sets of
    data in a useful way that should make it easier to understand the differences,
    and if necessary, help you work out how to remedy them. Aims
    to offer a more useful output than all.equal() when your two data sets do not
    match, but isn't intended to replace all.equal() as a way to test for equality.","https://github.com/capitalone/dataCompareR","0.1.1",NA,"EDA"
"DataExplorer","Data Explorer","Data exploration process for data analysis and model building, so
    that users could focus on understanding data and extracting insights. The
    package automatically scans through each variable and does data profiling.
    Typical graphical techniques will be performed for both discrete and
    continuous features.","https://github.com/boxuancui/DataExplorer","0.6.0",NA,"EDA"
"dataMaid","A Suite of Checks for Identification of Potential Errors in a
Data Frame as Part of the Data Screening Process","Data screening is an important first step of any statistical
    analysis. dataMaid autogenerates a customizable data report with a thorough
    summary of the checks and the results that a human can use to identify possible
    errors. It provides an extendable suite of test for common potential
    errors in a dataset. ","https://github.com/ekstroem/dataMaid","1.1.2","2018-05-03","Imputation"
"datamaps","Create Interactive Web Maps with the 'JavaScript Datamaps'
Library","Easily create interactive choropleth maps then add bubbles and arcs by coordinates or region name. 
    These maps can be used directly from the console, from 'RStudio', in 'Shiny' apps and 'R Markdown' documents. 'Shiny' 
    proxies allow to interactively add arcs and bubbles, change choropleth values, or change labels.","http://datamaps.john-coene.com","0.0.3",NA,"Maps"
"datapasta","R Tools for Data Copy-Pasta","RStudio addins and R functions that make copy-pasting vectors and tables to text painless.","https://github.com/milesmcbain/datapasta","3.0.0",NA,"Tools"
"dataPreparation","Automated Data Preparation","Do most of the painful data preparation for a data science project with a minimum amount of code; Take advantages of data.table efficiency and use some algorithmic trick in order to perform data preparation in a time and RAM efficient way.",NA,"0.3.6",NA,"EDA"
"default","Change the Default Arguments in R Functions","A simple syntax to change the default values for function
  arguments, whether they are in packages or defined locally.",NA,"1.0.0","2017-08-07","Programming"
"densityClust","Clustering by Fast Search and Find of Density Peaks","An improved implementation (based on k-nearest neighbors) of the 
    density peak clustering algorithm, originally described by Alex Rodriguez 
    and Alessandro Laio (Science, 2014 vol. 344). It can handle large datasets
    (> 100, 000 samples) very efficiently. It was initially implemented by 
    Thomas Lin Pedersen, with inputs from Sean Hughes and later improved by 
    Xiaojie Qiu to handle large datasets with kNNs.",NA,"0.3","2017-10-24","Cluster"
"descriptr","Generate Descriptive Statistics & Explore Statistical
Distributions","Generate descriptive statistics such as measures of location,
    dispersion, frequency tables, cross tables, group summaries and multiple
    one/two way tables. Visualize and compute percentiles/probabilities of 
    normal, t, f, chi square and binomial distributions.","https://descriptr.rsquaredacademy.com/,
https://github.com/rsquaredacademy/descriptr","0.4.1",NA,"EDA / Stats"
"desctable","Produce Descriptive and Comparative Tables Easily","Easily create descriptive and comparative tables.
    It makes use and integrates directly with the tidyverse family of packages, and pipes.
    Tables are produced as data frames/lists of data frames for easy manipulation after creation,
    and ready to be saved as csv, or piped to DT::datatable() or pander::pander() to integrate into reports.","https://github.com/maximewack/desctable","0.1.2",NA,"EDA"
"DescTools","Tools for Descriptive Statistics","A collection of miscellaneous basic statistic functions and convenience wrappers for efficiently describing data. The author's intention was to create a toolbox, which facilitates the (notoriously time consuming) first descriptive tasks in data analysis, consisting of calculating descriptive statistics, drawing graphical summaries and reporting the results. The package contains furthermore functions to produce documents using MS Word (or PowerPoint) and functions to import data from Excel. Many of the included functions can be found scattered in other packages and other sources written partly by Titans of R. The reason for collecting them here, was primarily to have them consolidated in ONE instead of dozens of packages (which themselves might depend on other packages which are not needed at all), and to provide a common and consistent interface as far as function and arguments naming, NA handling, recycling rules etc. are concerned. Google style guides were used as naming rules (in absence of convincing alternatives). The 'camel style' was consequently applied to functions borrowed from contributed R packages as well.",NA,"0.99.24","2018-03-18","EDA / Stats"
"diagram","Functions for Visualising Simple Graphs (Networks), Plotting
Flow Diagrams","Visualises simple graphs (networks) based on a transition matrix, utilities to plot flow diagrams, 
     visualising webs, electrical networks, etc.
     Support for the book ""A practical guide to ecological modelling -
     using R as a simulation platform""
     by Karline Soetaert and Peter M.J. Herman (2009), Springer.
     and the book ""Solving Differential Equations in R""
     by Karline Soetaert, Jeff Cash and Francesca Mazzia (2012), Springer.
     Includes demo(flowchart), demo(plotmat), demo(plotweb).",NA,"1.6.4",NA,"Plots"
"DiagrammeR","Graph/Network Visualization","
    Build graph/network structures using functions for stepwise addition and
    deletion of nodes and edges. Work with data available in tables for bulk
    addition of nodes, edges, and associated metadata. Use graph selections
    and traversals to apply changes to specific nodes or edges. A wide
    selection of graph algorithms allow for the analysis of graphs. Visualize
    the graphs and take advantage of any aesthetic properties assigned to
    nodes and edges.","https://github.com/rich-iannone/DiagrammeR","1.0.0",NA,"Plots"
"diceR","Diverse Cluster Ensemble in R","Performs cluster analysis using an ensemble clustering framework.
    Results from a diverse set of algorithms are pooled together using methods
    such as majority voting, K-Modes, LinkCluE, and CSPA. There are options to
    compare cluster assignments across algorithms using internal and external
    indices, visualizations such as heatmaps, and significance testing for the
    existence of clusters.","https://github.com/AlineTalhouk/diceR,
https://alinetalhouk.github.io/diceR","0.5.1","2018-06-10","Cluster"
"diffobj","Diffs for R Objects","Generate a colorized diff of two R objects for an intuitive
    visualization of their differences.","https://github.com/brodieG/diffobj","0.1.10","2018-06-06","EDA / Tools"
"directlabels","Direct Labels for Multicolor Plots","An extensible framework
 for automatically placing direct labels onto multicolor 'lattice' or
 'ggplot2' plots.
 Label positions are described using Positioning Methods
 which can be re-used across several different plots.
 There are heuristics for examining ""trellis"" and ""ggplot"" objects
 and inferring an appropriate Positioning Method.","http://directlabels.r-forge.r-project.org/","2018.05.22",NA,"Plots"
"drake","A Pipeline Toolkit for Reproducible Computation at Scale","A general-purpose computational engine for data analysis,
  drake rebuilds intermediate data objects when their dependencies change,
  and it skips work when the results are already up to date.
  Not every execution starts from scratch,
  and completed projects have tangible evidence
  that they are reproducible.
  Extensive documentation, from beginner-friendly tutorials
  to practical examples and more, is available at the reference website
  <https://ropensci.github.io/drake/> and the online manual
  <https://ropenscilabs.github.io/drake-manual/>.","https://github.com/ropensci/drake","5.2.1",NA,"workflow"
"dygraphs","Interface to 'Dygraphs' Interactive Time Series Charting Library","An R interface to the 'dygraphs' JavaScript charting library
    (a copy of which is included in the package). Provides rich facilities
    for charting time-series data in R, including highly configurable
    series- and axis-display and interactive features like zoom/pan and
    series/point highlighting.","https://github.com/rstudio/dygraphs","1.1.1.4","2017-01-04","Plots"
"egg","Extensions for 'ggplot2': Custom Geom, Plot Alignment,
Symmetrised Scale, and Fixed Panel Size","Miscellaneous functions to help customise 'ggplot2' objects. High-level functions are provided to post-process 'ggplot2' layouts and allow alignment between plot panels, as well as setting panel sizes to fixed values. Other functions include a custom 'geom', and a helper function to enforce symmetric scales in facetted plots.",NA,"0.4.0",NA,"Plots"
"errorist","Automatically Search Errors or Warnings","Provides environment hooks that obtain errors and warnings which
    occur during the execution of code to automatically search for solutions.","https://github.com/coatless/errorist","0.0.1",NA,"Programming / Tools"
"ERSA","Exploratory Regression 'Shiny' App","Constructs a 'shiny' app function with interactive displays for summary and analysis of variance regression tables, and parallel coordinate plots of data and residuals.",NA,"0.1.0",NA,"EDA / Stats"
"extrafont","Tools for using fonts","Tools to using fonts other than the standard PostScript fonts.
    This package makes it easy to use system TrueType fonts and with PDF or
    PostScript output files, and with bitmap output files in Windows. extrafont
    can also be used with fonts packaged specifically to be used with, such as
    the fontcm package, which has Computer Modern PostScript fonts with math
    symbols. See https://github.com/wch/extrafont for instructions and
    examples.","https://github.com/wch/extrafont","0.17",NA,"Tools / Plots"
"factoextra","Extract and Visualize the Results of Multivariate Data Analyses","Provides some easy-to-use functions to extract and visualize the
    output of multivariate data analyses, including 'PCA' (Principal Component
    Analysis), 'CA' (Correspondence Analysis), 'MCA' (Multiple Correspondence
    Analysis), 'FAMD' (Factor Analysis of Mixed Data), 'MFA' (Multiple Factor Analysis) and 'HMFA' (Hierarchical Multiple
    Factor Analysis) functions from different R packages. It contains also functions
    for simplifying some clustering analysis steps and provides 'ggplot2' - based
    elegant data visualization.","http://www.sthda.com/english/rpkgs/factoextra","1.0.5","2017-08-22","EDA / Factorial Analysis"
"FFTrees","Generate, Visualise, and Evaluate Fast-and-Frugal Decision Trees","Create, visualize, and test fast-and-frugal decision trees (FFTs). FFTs are very simple decision trees for
    binary classification problems. FFTs can be preferable to more complex algorithms because they are easy to communicate, require very little information, and are
    robust against overfitting.",NA,"1.3.5","2017-11-01","Plots"
"filesstrings","Handy File and String Manipulation","Convenient functions for moving files, deleting directories, 
    and a variety of string operations that facilitate manipulating files 
    and extracting information from strings.","https://www.github.com/rorynolan/filesstrings","2.4.0",NA,"Tools / Files"
"forecTheta","Forecasting Time Series by Theta Models","Routines for forecasting univariate time series using Theta Models. Contains several cross-validation routines. ","http://arxiv.org/abs/1503.03529","2.2","2016-05-25","Forecasting"
"fs","Cross-Platform File System Operations Based on 'libuv'","A cross-platform interface to file system operations, built on
  top of the 'libuv' C library.","http://fs.r-lib.org, https://github.com/r-lib/fs","1.2.3",NA,"Tools / Files"
"funModeling","Exploratory Data Analysis and Data Preparation Tool-Box Book","Around 10% of almost any predictive modeling project is spent in predictive modeling, 'funModeling' and the book Data Science Live Book (<http://livebook.datascienceheroes.com/>) are intended to cover remaining 90%: data preparation, profiling, selecting best variables 'dataViz', assessing model performance and other functions.","livebook.datascienceheroes.com","1.6.7","2018-01-21","EDA / Models"
"futile.logger","A Logging Utility for R","Provides a simple yet powerful logging utility. Based loosely on
    log4j, futile.logger takes advantage of R idioms to make logging a
    convenient and easy to use replacement for cat and print statements.",NA,"1.4.3","2016-07-10","Tools / Logs"
"gbm","Generalized Boosted Regression Models","An implementation of extensions to Freund and
        Schapire's AdaBoost algorithm and Friedman's gradient boosting
        machine. Includes regression methods for least squares,
        absolute loss, t-distribution loss, quantile regression,
        logistic, multinomial logistic, Poisson, Cox proportional
        hazards partial likelihood, AdaBoost exponential loss,
        Huberized hinge loss, and Learning to Rank measures
        (LambdaMart).","http://code.google.com/p/gradientboostedmodels/","2.1.3","2017-03-21","Models"
"gdalUtils","Wrappers for the Geospatial Data Abstraction Library (GDAL)
Utilities","Wrappers for the Geospatial Data Abstraction Library (GDAL)
    Utilities.",NA,"2.0.1.14","2018-04-22","Maps"
"geofacet","'ggplot2' Faceting Utilities for Geographical Data","Provides geofaceting functionality for 'ggplot2'. Geofaceting arranges a sequence of plots of data for different geographical entities into a grid that preserves some of the geographical orientation.",NA,"0.1.9",NA,"Maps"
"geonames","Interface to www.geonames.org web service","Code for querying the web service at www.geonames.org",NA,"0.998","2011-24-11","Maps"
"geoR","Analysis of Geostatistical Data","Geostatistical analysis including traditional, likelihood-based and Bayesian methods.","http://www.leg.ufpr.br/geoR","1.7-5.2","2016-05-02","Maps"
"geosphere","Spherical Trigonometry","Spherical trigonometry for geographic applications. That is, compute distances and related measures for angular (longitude/latitude) locations. ",NA,"1.5-7","2017-11-02","Maps"
"GGally","Extension to 'ggplot2'","
    The R package 'ggplot2' is a plotting system based on the grammar of graphics.
    'GGally' extends 'ggplot2' by adding several functions
    to reduce the complexity of combining geometric objects with transformed data.
    Some of these functions include a pairwise plot matrix, a two group pairwise plot
    matrix, a parallel coordinates plot, a survival plot, and several functions to
    plot networks.","https://ggobi.github.io/ggally, https://github.com/ggobi/ggally","1.4.0",NA,"Plots"
"ggalt","Extra Coordinate Systems, 'Geoms', Statistical Transformations,
Scales and Fonts for 'ggplot2'","A compendium of new geometries, coordinate systems, statistical 
    transformations, scales and fonts for 'ggplot2', including splines, 1d and 2d densities, 
    univariate average shifted histograms, a new map coordinate system based on the 
    'PROJ.4'-library along with geom_cartogram() that mimics the original functionality of 
    geom_map(), formatters for ""bytes"", a stat_stepribbon() function, increased 'plotly'
    compatibility and the 'StateFace' open source font 'ProPublica'. Further new 
    functionality includes lollipop charts, dumbbell charts, the ability to encircle
    points and coordinate-system-based text annotations.","https://github.com/hrbrmstr/ggalt","0.4.0",NA,"Plots"
"ggbeeswarm","Categorical Scatter (Violin Point) Plots","Provides two methods of plotting categorical scatter plots such
    that the arrangement of points within a category reflects the density of
    data at that region, and avoids over-plotting.","https://github.com/eclarke/ggbeeswarm","0.6.0","2017-08-03","Plots"
"ggcorrplot","Visualization of a Correlation Matrix using 'ggplot2'","The 'ggcorrplot' package can be used to visualize easily a
    correlation matrix using 'ggplot2'. It provides a solution for reordering the
    correlation matrix and displays the significance level on the plot. It also
    includes a function for computing a matrix of correlation p-values.","http://www.sthda.com","0.1.1","2016-01-12","Plots"
"ggedit","Interactive 'ggplot2' Layer and Theme Aesthetic Editor","Interactively edit 'ggplot2' layer and theme aesthetics definitions.","https://github.com/metrumresearchgroup/ggedit","0.2.1","2017-03-31","Plots"
"ggforce","Accelerating 'ggplot2'","The aim of 'ggplot2' is to aid in visual data investigations. This
    focus has led to a lack of facilities for composing specialised plots.
    'ggforce' aims to be a collection of mainly new stats and geoms that fills
    this gap. All additional functionality is aimed to come through the official
    extension system so using 'ggforce' should be a stable experience.",NA,"0.1.2","2018-05-27","Plots"
